version | rows | columns | odd number of rows? | odd number of columns?
1       | 21   | 21      | True                | True                 
2       | 25   | 25      | True                | True                 
3       | 29   | 29      | True                | True                 
4       | 33   | 33      | True                | True                 
5       | 37   | 37      | True                | True                 
6       | 41   | 41      | True                | True                 
7       | 45   | 45      | True                | True                 
8       | 49   | 49      | True                | True                 
9       | 53   | 53      | True                | True                 
10      | 57   | 57      | True                | True                 
11      | 61   | 61      | True                | True                 
12      | 65   | 65      | True                | True                 
13      | 69   | 69      | True                | True                 
14      | 73   | 73      | True                | True                 
15      | 77   | 77      | True                | True                 
16      | 81   | 81      | True                | True                 
17      | 85   | 85      | True                | True                 
18      | 89   | 89      | True                | True                 
19      | 93   | 93      | True                | True                 
20      | 97   | 97      | True                | True                 
21      | 101  | 101     | True                | True                 
22      | 105  | 105     | True                | True                 
23      | 109  | 109     | True                | True                 
24      | 113  | 113     | True                | True                 
25      | 117  | 117     | True                | True                 
26      | 121  | 121     | True                | True                 
27      | 125  | 125     | True                | True                 
28      | 129  | 129     | True                | True                 
29      | 133  | 133     | True                | True                 
30      | 137  | 137     | True                | True                 
31      | 141  | 141     | True                | True                 
32      | 145  | 145     | True                | True                 
33      | 149  | 149     | True                | True                 
34      | 153  | 153     | True                | True                 
35      | 157  | 157     | True                | True                 
36      | 161  | 161     | True                | True                 
37      | 165  | 165     | True                | True                 
38      | 169  | 169     | True                | True                 
39      | 173  | 173     | True                | True                 
40      | 177  | 177     | True                | True                 
